"","LID","License Number","License Type","Status","Licensee","Premises","Premises Address","Premises Mailing Address","Premises Owner","Premises Manager","County","Municipality","Last Issue Date","Expiration Date","lon","lat"
"11","3224","CC1958","Catering Club (Liquor)","Active","ST. CLAIR COUNTRY CLUB","ST. CLAIR COUNTRY CLUB","2300 OLD WASHINGTON RD, PITTSBURGH PA 15241-2499","2300 OLD WASHINGTON RD, PITTSBURGH PA 15241-2499","ST. CLAIR COUNTRY CLUB","RICHARD LAROCCA","Allegheny County","Upper St Clair Twp","Mar 11,2025","May 31,2026",-80.0780722,40.3313694
"12","121950","D2291","Distributor (Malt)","Active","BEER KING GT INC","BEER KING GT INC","10 OLD CLAIRTON RD  SUITE 3  , PITTSBURGH PA 15236-3923","10 OLD CLAIRTON RD  SUITE 3  , PITTSBURGH PA 15236-3923","BILL GREENS SHOPPING CENTER LP","KULDEEP SINGH","Allegheny County","Pleasant Hills","May 23,2025","May 31,2026",-79.9654559,40.3398124
"13","127111","D2550","Distributor (Malt)","Active","BRIDGES AND BOTTLES ON SIXTH INC","BRIDGES AND BOTTLES","137 6TH ST, PITTSBURGH PA 15222-3308","137 6TH ST, PITTSBURGH PA 15222-3308","LWE ROOSEVELT, LP","VAISHALI SHARMA","Allegheny County","Pittsburgh","Mar 27,2025","May 31,2026",-80.0022031,40.4431003
"14","67640","D445","Distributor (Malt)","Active","DEANS BEER LLC","DEANS BEER","91 JOSEPH ST BALDWIN, PITTSBURGH PA 15227","91 JOSEPH ST BALDWIN, PITTSBURGH PA 15227",NA,"JAMES COLOSIMO","Allegheny County","Baldwin","Mar 26,2025","May 31,2026",-79.9650708,40.3893837
"15","72277","G618","Brewery","Active","ALLEGHENY CITY BREWING LLC","ALLEGHENY CITY BREWING LLC","507 FORELAND ST, PITTSBURGH PA 15212-4910","507 FORELAND ST, PITTSBURGH PA 15212-4910",NA,"ALAN A GRASSO JR","Allegheny County","Pittsburgh","Dec 5,2024","Dec 31,2025",-80.0004093,40.4542234
"16","98389","G45691","Brewery","Active","SLY FOX BREWING COMPANY INC","SLY FOX BREWING COMPANY INC","46 S 4TH ST, PITTSBURGH PA 15219","46 S 4TH ST, PITTSBURGH PA 15219","MCKNIGHT RIVER WALK LP","PATRICK R CUNNINGHAM","Allegheny County","Pittsburgh","May 30,2025","Dec 31,2025",-79.9957875,40.4307231
"17","5926","G253","Brewery","Active","PENNSYLVANIA BREWING COMPANY","PENN BRWY & ALLEG BRWY RATSKELLER","800 VINIAL ST, PITTSBURGH PA 15212-5100","800 VINIAL ST, PITTSBURGH PA 15212-5100",NA,"SANDRA M CINDRICH","Allegheny County","Pittsburgh","Sep 5,2024","Dec 31,2025",-79.9915061,40.4571715
"18","107036","GA47516","Grain Alcohol","Active","STEFAN BONASORTE","STEFAN BONASORTE","512 SUSANNA CT, PITTSBURGH PA 15207-1266","512 SUSANNA CT, PITTSBURGH PA 15207-1266",NA,NA,"Allegheny County","Pittsburgh","Jul 7,2021","Dec 31,2026",-79.9392105,40.4180691
"19","87335","GA34755","Grain Alcohol","Active","RON  BERDES","RON BERDES","1910 PARK MANOR DR, PITTSBURGH PA 15205","1910 PARK MANOR DR, PITTSBURGH PA 15205",NA,NA,"Allegheny County","Robinson Twp","Jun 29,2017",NA,-80.1634387,40.4499598
"20","99974","GA43093","Grain Alcohol","Active","LOUIS CARL PORTELLA II","LOUIS CARL PORTELLA II","1612 EBEN ST FL 2, PITTSBURGH PA 15226-2463","1612 EBEN ST FL 2, PITTSBURGH PA 15226-2463",NA,NA,"Allegheny County","Baldwin Twp","Aug 20,2019",NA,-80.0084359,40.3885372
"21","115046","GA52407","Grain Alcohol","Active","JOHN NAPOLEON","JOHN NAPOLEON","651 BLOSSOM DR, PITTSBURGH PA 15236","651 BLOSSOM DR, PITTSBURGH PA 15236",NA,NA,"Allegheny County","Baldwin","Dec 7,2022","Dec 31,2027",-80.0040136,40.3426649
"22","83408","GA32160","Grain Alcohol","Active","ANTHONY WELLS","ANTHONY WELLS","1039 N WHEELER ST, PITTSBURGH PA 15208","1039 N WHEELER ST, PITTSBURGH PA 15208",NA,NA,"Allegheny County","Pittsburgh","Oct 14,2016",NA,-79.8846891,40.4575992
"23","114481","GA52214","Grain Alcohol","Active","JAMES KIGER","RESIDENCE","322 HALLSBOROUGH DR, PITTSBURGH PA 15238","322 HALLSBOROUGH DR, PITTSBURGH PA 15238",NA,NA,"Allegheny County","Fox Chapel","Oct 31,2022","Dec 31,2027",-79.9000638,40.5390052
"24","102432","GS45268","Brewery Storage","Safekeeping","JAMES HENRY LLC","ROUNDABOUT BREWERY","1836 N FRANKLIN ST, PITTSBURGH PA 15233-","84 HIGH ST, PITTSBURGH PA 15223","ALVIN J STEIN","DYANA M SLOAN","Allegheny County","Pittsburgh","Nov 6,2024","Dec 31,2025",-80.033851,40.454728
"25","114684","H1345","Hotel (Liquor)","Safekeeping","7544 ROSLYN LLC","7544 ROSLYN LLC","2024 SARAH ST, PITTSBURGH PA 15203-2022","2024 SARAH ST, PITTSBURGH PA 15203-2022","ID PROPERTIES, LLC","ILIYANA I NORRIS","Allegheny County","Pittsburgh","Mar 6,2025","May 31,2026",-79.9767355,40.4274499
"26","127597","H59944","Hotel (Liquor)","Active","VISTA MYRTLE BEACH HOTEL LP","SPRINGHILL SUITES BY MARRIOTT PITTSBURGH MILLS","3015 PITTSBURGH MILLS BLVD, TARENTUM PA 15084-3846","2-8 HAWLEY ST, BINGHAMTON NY 13901-3114","VISTA MYRTLE BEACH HOTEL LP","MOLLY M BEIGHLEY","Allegheny County","Frazer Twp","May 21,2025","May 31,2026",-79.8047625,40.5702321
"27","95484","H41866","Hotel (Liquor)","Active","WHG PENN MANAGEMENT LLC","HYATT REGENCY INTERNATIONAL AIRPORT","1111 AIRPORT BLVD, PITTSBURGH PA 15231","PO BOX 12420, PITTSBURGH PA 15231-2420","Allegheny County Airport Authority","ROBERT E RUSH II","Allegheny County","Findlay Twp","May 19,2025","May 31,2026",-80.2598629,40.4967914
"28","110742","H52349","Hotel (Liquor)","Active","PDOF MCCANDLESS, LLC","HOME2SUITES BY HILTON","8630 DUNCAN AVE, PITTSBURGH PA 15237","3500 LENOX RD SUITE 625, ATLANTA GA 30308","PDOF MCCANDLESS, LLC","JONATHAN A HEIMLICH","Allegheny County","Mccandless","Jun 2,2025","May 31,2026",-80.0270402,40.5616849
"29","64917","I837","Importer","Active","ALLORA WINE GROUP LLC","ALLORA WINE GROUP","6358 AURELIA STREET, PITTSBURGH PA 15206","6358 AURELIA STREET, PITTSBURGH PA 15206",NA,"MICHEL MINCIN","Allegheny County","Pittsburgh","Apr 16,2024","Jun 30,2025",-79.9203415,40.4573489
"30","82523","IA31338","Transporter for Hire Class A","Active","IL PIZZARELLI INC","GIOVANNI'S PIZZA & PASTA","3047-49 W LIBERTY AVE, PITTSBURGH PA 15216-2460","3047-49 W LIBERTY AVE, PITTSBURGH PA 15216-2460",NA,NA,"Allegheny County","Dormont","Sep 18,2024","Dec 31,2025",-80.0377293,40.3921165
"31","115005","J52699","Bailee For Hire","Active","AMERICAN BEVERAGE CORPORATION","AMERICAN BEVERAGE CORPORATION","100 PAPERCRAFT PARK, PITTSBURGH PA 15238","100 PAPERCRAFT PARK, PITTSBURGH PA 15238",NA,NA,"Allegheny County","Ohara Twp","Oct 11,2024","Dec 31,2025",-79.8711828,40.4876962
"32","130460","J60985","Bailee For Hire","Active","TALON LOGISTICS INC","9501 MFC BRADDOCK AVE","1175 S BRADDOCK AVE, PITTSBURGH PA 15218-","700 CRANBERRY WOODS DR, CRANBERRY TOWNSHIP PA 16066-5213",NA,NA,"Allegheny County","Edgewood","Apr 24,2025","Dec 31,2025",-79.8932916,40.4318026
"33","59953","PAF58","Performing Arts Facility","Active","NEW HAZLETT CENTER FOR THE PERFORMING ARTS","NEW HAZLETT THEATER","6 ALLEGHENY SQ EAST, PITTSBURGH PA 15212-5350","6 ALLEGHENY SQ EAST, PITTSBURGH PA 15212-5350",NA,"SADIE M TREESE","Allegheny County","Pittsburgh","Mar 4,2025","May 31,2026",-80.005155,40.453091
"34","97210","PV41743","Public Venue Restaurant","Active","ARAMARK HF COMPANY","ACRISURE STADIUM","100 ART ROONEY DR, PITTSBURGH PA 15212","100 ART ROONEY DR, PITTSBURGH PA 15212",NA,"AMY TSANG","Allegheny County","Pittsburgh","Mar 4,2025","May 31,2026",-80.0157603,40.4467648
"35","72294","PV174","Public Venue Restaurant","Active","CULINAIRE INTERNATIONAL INC","THE ANDY WARHOL MUSEUM","117 SANDUSKY ST, PITTSBURGH PA 15212-5821","117 SANDUSKY ST, PITTSBURGH PA 15212-5821",NA,"HEATHER MARSOWICZ","Allegheny County","Pittsburgh","Mar 26,2025","May 31,2026",-80.0024908,40.4483754
"36","63910","PV128","Public Venue Restaurant","Active","ARAMARK SPORTS AND ENTERTAINMENT SERVICES LLC","STAGE AE","400 N SHORE DR, PITTSBURGH PA 15212-5867","400 N SHORE DR, PITTSBURGH PA 15212-5867",NA,"JAIME MCGOLDRICK","Allegheny County","Pittsburgh","Feb 6,2025","May 31,2026",-80.0123564,40.446102
"37","97229","R5461","Restaurant (Liquor)","Active","IRON BORN LLC","IRON BORN","1806 SMALLMAN ST, PITTSBURGH PA 15222","104 EADE AVE, GLENSHAW PA 15116","PENNSYLVANIA MACARONI COMPANY INC","PETER B TOLMAN","Allegheny County","Pittsburgh","Apr 3,2025","May 31,2026",-79.9851946,40.4510463
"38","49464","R19448","Restaurant (Liquor)","Active","SCOTT MAD MEX, LP","MAD MEX","2101 GREENTREE RD  STE B-120, PITTSBURGH PA 15220-1404","2101 GREENTREE RD  STE B-120, PITTSBURGH PA 15220-1404","PITTSBURGH PA RETAIL LP","LAUREN E DRAKE","Allegheny County","Scott Twp","Mar 17,2025","May 31,2026",-80.072501,40.3906217
"39","52096","R8717","Restaurant (Liquor)","Active","THEATER SQUARE LLC","THEATER SQUARE LLC","649-665 PENN AVE, PITTSBURGH PA 15222","649-665 PENN AVE, PITTSBURGH PA 15222",NA,"CYNTHIA A AGUILAR","Allegheny County","Pittsburgh","Mar 11,2025","May 31,2026",-80.0011895,40.4431503
"40","71610","R8130","Restaurant (Liquor)","Active","DOAK BORST DEVELOPMENT COMPANY LLC","DOAK BORST DEVELOPMENT COMPANY LLC","1915 MCCAGUE ST SWISSVALE, PITTSBURGH PA 15218-2422","1915 MCCAGUE ST SWISSVALE, PITTSBURGH PA 15218-2422","RANDY LARSON","DOAK BORST","Allegheny County","Swissvale","Mar 3,2025","May 31,2026",-79.8873227,40.4224538
"41","36983","R16699","Restaurant (Liquor)","Active","IKSRAL, INC.","GUYASUTA LOUNGE","1004 N CANAL ST SHARPSBURG, PITTSBURGH PA 15215-2412","1004 N CANAL ST SHARPSBURG, PITTSBURGH PA 15215-2412",NA,"R LYNN PILARSKI","Allegheny County","Sharpsburg","Mar 4,2025","May 31,2026",-79.9323685,40.4948252
"42","91612","R10624","Restaurant (Liquor)","Active","2 BENZES LLC","2 BENZES LLC","605 MT ROYAL BLVD, PITTSBURGH PA 15223-1225","605 MT ROYAL BLVD, PITTSBURGH PA 15223-1225",NA,"ROBERT BENZENHOEFER","Allegheny County","Shaler Twp","May 19,2025","May 31,2026",-79.9583644,40.5124327
"43","117755","R12438","Restaurant (Liquor)","Active","FET-FISK LTD","FET-FISK LTD","4786 LIBERTY AVE, PITTSBURGH PA 15224-2040","4786 LIBERTY AVE, PITTSBURGH PA 15224-2040","4786 LIBERTY AVENUE ASSOCIATES LLC","NIKLAS FORSBERG","Allegheny County","Pittsburgh","Jun 2,2025","May 31,2026",-79.9473453,40.4605056
"44","32383","R6981","Restaurant (Liquor)","Active","MODERN CAFE, INC.","MODERN CAFE, INC.","862 WESTERN AVE, PITTSBURGH PA 15233-1716","862 WESTERN AVE, PITTSBURGH PA 15233-1716",NA,"IRENE ZOTIS","Allegheny County","Pittsburgh","Mar 4,2025","May 31,2026",-80.0164403,40.4521506
"45","54710","R8916","Restaurant (Liquor)","Active","JDV VENTURES, INC.","SOHO RESTAURANT","203 FEDERAL ST, PITTSBURGH PA 15212-5709","203 FEDERAL ST, PITTSBURGH PA 15212-5709",NA,"MICHAEL VAN-THIEL","Allegheny County","Pittsburgh","Apr 4,2025","May 31,2026",-80.004509,40.448376
"46","94716","R7743","Restaurant (Liquor)","Active","CARRICK LOUNGE LLC","CARRICK LOUNGE","1144 BROWNSVILLE RD, PITTSBURGH PA 15210-3661","2804 EDWARDS WAY, PITTSBURGH PA 15203-2309","CARRICK LOUNGE LLC","ASHLEY VOGEL","Allegheny County","Pittsburgh","May 20,2025","May 31,2026",-79.9904689,40.404143
"47","84040","R9681","Restaurant (Liquor)","Active","NICKYS THAI KITCHEN IV INC","NICKYS THAI KITCHEN IV INC","1026 MOUNT NEBO RD, PITTSBURGH PA 15237-1320","1026 MOUNT NEBO RD, PITTSBURGH PA 15237-1320","MAYAPPLE LAND MANAGEMENT INC","DAVID T BRUNNER","Allegheny County","Ohio Twp","Mar 6,2025","May 31,2026",-80.08757,40.5509929
"48","58950","R5191","Restaurant (Liquor)","Active","HAL KOENEMUND LLC","HAL KOENEMUND LLC","3225 BABCOCK BLVD, PITTSBURGH PA 15237-2825","3225 BABCOCK BLVD, PITTSBURGH PA 15237-2825",NA,"WILLIAM KOENEMUND","Allegheny County","Ross Twp","Mar 25,2025","May 31,2026",-80.0165219,40.5246377
"49","44102","R1126","Restaurant (Liquor)","Active","KERR & MILLER, INC.","KERR & MILLER, INC.","200 MT OLIVER ST, PITTSBURGH PA 15210-1775","200 MT OLIVER ST, PITTSBURGH PA 15210-1775",NA,"SCOTT MILLER","Allegheny County","Pittsburgh","Apr 10,2025","May 31,2026",-79.987172,40.421593
"50","102031","R7263","Restaurant (Liquor)","Active","MIKE'S BEER BAR LLC","NORTH SHORE TAVERN","110-120 FEDERAL ST, PITTSBURGH PA 15212-5708","110-120 FEDERAL ST, PITTSBURGH PA 15212-5708","SMITH BROTHERS BOGGS, LP","TIFFANY A MCFALL","Allegheny County","Pittsburgh","Mar 20,2025","May 31,2026",-80.0039089,40.4480511
"51","72569","R5984","Restaurant (Liquor)","Active","2622 BROWNSVILLE LLC","CHARACTERS LOUNGE","2622 BROWNSVILLE RD, PITTSBURGH PA 15227-2006","2622 BROWNSVILLE RD, PITTSBURGH PA 15227-2006",NA,"JOHN VARNEY","Allegheny County","Pittsburgh","May 22,2025","May 31,2026",-79.9783128,40.3847419
"52","108860","R9167","Restaurant (Liquor)","Active","GOOD TIME BAR LLC","GOOD TIME BAR LLC","1304 EVERGREEN AVE, PITTSBURGH PA 15209-1642","1304 EVERGREEN AVE, PITTSBURGH PA 15209-1642","CHARLES W & BETSY A EIDENMILLER","AMY GOLDBERG","Allegheny County","Millvale","May 20,2025","May 31,2026",-79.9759978,40.4953302
"53","67779","R15698","Restaurant (Liquor)","Active","GIANT EAGLE INC","GIANT EAGLE INC","8080 MCINTYRE SQ DR, PITTSBURGH PA 15237","15950  N DALLAS PKY STE 400, DALLAS TX 75248","FIRST CITY NORTH ASSOCIATES LP","MARK ROSS","Allegheny County","Mccandless","Apr 2,2025","May 31,2026",-80.0186459,40.5549889
"54","128089","R3688","Restaurant (Liquor)","Active","CAFE MILANO COMPANY ASSOCIATES","CAFE MILANO","134 6TH ST, PITTSBURGH PA 15222-3306","134 6TH ST, PITTSBURGH PA 15222-3306","Executive Real Estate Asset Management LP","ERDOGAN AKKOYUN","Allegheny County","Pittsburgh","Apr 7,2025","May 31,2026",-80.0026482,40.4430805
"55","128373","R7921","Restaurant (Liquor)","Active","GIANT EAGLE INC","GIANT EAGLE #1246","51 WALSH RD, PITTSBURGH PA 15205-2336","51 WALSH RD, PITTSBURGH PA 15205-2336","1204 CORPORATION","STEPHEN M GORZELSKY","Allegheny County","Crafton","May 13,2025","May 31,2026",-80.0721856,40.4403371
"56","56846","R7628","Restaurant (Liquor)","Active","NSHP LLC","HYDE PARK PRIME STEAKHOUSE","247 N SHORE DR, PITTSBURGH PA 15212-5860","247 N SHORE DR, PITTSBURGH PA 15212-5860",NA,"KENNETH MACIESKI","Allegheny County","Pittsburgh","Apr 29,2025","May 31,2026",-80.0082771,40.446175
"57","49200","R12391","Restaurant (Liquor)","Active","GUARDSMAN, INC.","SILKY'S PUB","5135 LIBERTY AVE, PITTSBURGH PA 15224-2217","5135 LIBERTY AVE, PITTSBURGH PA 15224-2217",NA,"WILLIAM FRANCESCHINI","Allegheny County","Pittsburgh","Mar 6,2025","May 31,2026",-79.9422605,40.458248
"58","112550","R5692","Restaurant (Liquor)","Active","FIRST WATCH RESTAURANTS, INC","FIRST WATCH","9176 COVENANT  AVE, PITTSBURGH PA 15237","8725 PENDERY PL STE 201, BRADENTON FL 34201","ADVENTURE/CHAMPION PARTNERSHIP","ERNEST E MESSERSMITH","Allegheny County","Mccandless","May 15,2025","May 31,2026",-80.0229697,40.5716851
"59","112266","R7899","Restaurant (Liquor)","Active","CITY WINERY PITTSBURGH, LLC","CITY WINERY","1627 SMALLMAN ST, PITTSBURGH PA 15222-4316","1627 SMALLMAN ST, PITTSBURGH PA 15222-4316","PRODUCE TERMINAL HOLDINGS LLC","VICTOR A CARNES","Allegheny County","Pittsburgh","Mar 14,2025","May 31,2026",-79.9879173,40.4499476
"60","16237","R13608","Restaurant (Liquor)","Active","1413 CATHELL, INC.","THE HALF TIME LOUNGE","1413 CATHELL RD BALDWIN, PITTSBURGH PA 15236-1107","1413 CATHELL RD BALDWIN, PITTSBURGH PA 15236-1107",NA,"MARISA G RULLO","Allegheny County","Baldwin","Apr 10,2025","May 31,2026",-79.9501395,40.3849922
"61","115101","R1274","Restaurant (Liquor)","Active","LA CALERA II INC","LA CALERA II INC","5321 CLAIRTON BLVD, PITTSBURGH PA 15236-2712","5321 CLAIRTON BLVD, PITTSBURGH PA 15236-2712","CHAK CHEONG LI & DAN HONG ZHENG","ADITYA KARAMCHETI","Allegheny County","Baldwin","Mar 3,2025","May 31,2026",-79.9690391,40.3434331
"62","116075","R16655","Restaurant (Liquor)","Active","BARCELONA PITTSBURGH, LLC","BARCELONA WINE BAR","922 PENN AVE, PITTSBURGH PA 15222-3706","922 PENN AVE, PITTSBURGH PA 15222-3706","iPENN VENTURES LP","EDWARD C CHRZANOWSKI","Allegheny County","Pittsburgh","Mar 28,2025","May 31,2026",-79.9971759,40.4437924
"63","71369","R6507","Restaurant (Liquor)","Active","STONEBRIDGE COMMONS MANAGEMENT LLC","STONEBRIDGE COMMONS MANAGEMENT LLC","431 MARKET ST, PITTSBURGH PA 15222-1703","431 MARKET ST, PITTSBURGH PA 15222-1703",NA,"RICHARD F MACHEL","Allegheny County","Pittsburgh","Apr 8,2025","May 31,2026",-80.0025171,40.4411382
"64","109645","R10474","Restaurant (Liquor)","Active","LP3 INC","LARGE PLAIN PIZZA AND PINTS","1411 DUNCAN AVE MCCANDLESS, PITTSBURGH PA 15237-5813","1411 DUNCAN AVE MCCANDLESS, PITTSBURGH PA 15237-5813","LP2 LLC","WILLIAM D TEADERMAN II","Allegheny County","Mccandless","Mar 27,2025","May 31,2026",-80.0070929,40.5676106
"65","71067","R12441","Restaurant (Liquor)","Active","PLN FOOD SERVICE INC","PRIMANTI BROS","3803-05 FORBES AVE, PITTSBURGH PA 15213-3505","3803-05 FORBES AVE, PITTSBURGH PA 15213-3505",NA,"NICHOLAS K ROEDLER","Allegheny County","Pittsburgh","Mar 24,2025","May 31,2026",-79.9569484,40.4417764
"66","36693","R7192","Restaurant (Liquor)","Active","CELTIC INVESTMENTS, INC.","THE FIRESIDE INN","4214 STEUBENVILLE PK, PITTSBURGH PA 15205-9645","4214 STEUBENVILLE PK, PITTSBURGH PA 15205-9645",NA,"THOMAS J MCGUIRE","Allegheny County","Robinson Twp","Apr 3,2025","May 31,2026",-80.0891757,40.4399269
"67","58737","R2932","Restaurant (Liquor)","Active","E TOWN BAR AND GRILLE INC","E TOWN BAR AND GRILLE INC","304 BUTLER ST, PITTSBURGH PA 15223-2105","304 BUTLER ST, PITTSBURGH PA 15223-2105",NA,"SCOTT STAYDUHAR","Allegheny County","Etna","Mar 3,2025","May 31,2026",-79.9451305,40.495332
"68","48386","R8193","Restaurant (Liquor)","Active","RAEANNA LLC","ALADDIN'S EATERY","5878 FORBES AVE, PITTSBURGH PA 15217-1602","5878 FORBES AVE, PITTSBURGH PA 15217-1602",NA,"LAURIE CHAMOUN","Allegheny County","Pittsburgh","May 19,2025","May 31,2026",-79.9197512,40.4378416
"69","90183","R10216","Restaurant (Liquor)","Active","MJGM LLC","MELROSE BAR","2712 BROWNSVILLE RD, PITTSBURGH PA 15227-2018","2712 BROWNSVILLE RD, PITTSBURGH PA 15227-2018","GMMJ LLC","GARY A MARASCO","Allegheny County","Pittsburgh","Mar 10,2025","May 31,2026",-79.9777415,40.3839944
"70","53293","R7562","Restaurant (Liquor)","Active","SILK ELEPHANT LLC","SILK ELEPHANT LLC","1712 MURRAY AVE, PITTSBURGH PA 15217-1563","1712 MURRAY AVE, PITTSBURGH PA 15217-1563",NA,"MENG WONG","Allegheny County","Pittsburgh","Mar 20,2025","May 31,2026",-79.9230976,40.4375163
"71","86257","R35216","Restaurant (Liquor)","Active","SHEETZ INC","SHEETZ #619","2871 FREEPORT RD, PITTSBURGH PA 15238","2871 FREEPORT RD, PITTSBURGH PA 15238","BT HARMARVILLE LLC","ATHENA R TUSING","Allegheny County","Harmar Twp","Mar 19,2025","May 31,2026",-79.8311954,40.5392364
"72","70247","R4652","Restaurant (Liquor)","Active","ORMSBY AVE CAFE LLC","ORMSBY AVE CAFE LLC","402 ORMSBY AVE, PITTSBURGH PA 15210-2512","402 ORMSBY AVE, PITTSBURGH PA 15210-2512",NA,"KRISTEN N DELACOUR","Allegheny County","Pittsburgh","Apr 8,2025","May 31,2026",-79.9814951,40.4125697
"73","57159","R2894","Restaurant (Liquor)","Active","APPLE PENNSYLVANIA LLC","APPLEBEES NEIGHBORHOOD GRILL & BAR","PITTSBURGH MILLS 1050 VILLAGE CENTER DR, TARENTUM PA 15084","PITTSBURGH MILLS 1050 VILLAGE CENTER DR, TARENTUM PA 15084",NA,"TIFFANY N UPTEGRAPH","Allegheny County","Frazer Twp","Feb 13,2025","May 31,2026",-79.8028014,40.5671978
"74","56718","R20186","Restaurant (Liquor)","Active","BISTRO NINETEEN LLC","BISTRO 19","711 WASHINGTON RD, PITTSBURGH PA 15228-2004","711 WASHINGTON RD, PITTSBURGH PA 15228-2004",NA,"GREGORY N GAZICA","Allegheny County","Mt Lebanon Twp","May 29,2025","May 31,2026",-80.0444373,40.3800882
"75","90387","R9636","Restaurant (Liquor)","Active","SPBW LLC","SPBW LLC","5340 PERRYSVILLE RD, PITTSBURGH PA 15229-3001","5340 PERRYSVILLE RD, PITTSBURGH PA 15229-3001","ONE CENTER INDEPENDENT OIL REAL ESTATE LP","GEOFFREY R BURKHARDT JR","Allegheny County","West View","Mar 17,2025","May 31,2026",-80.0312702,40.5116945
"76","48978","R16657","Restaurant (Liquor)","Active","NOWICKI BEVERAGE, INC.","NOWICKI BEVERAGE, INC.","41 STERLING ST, PITTSBURGH PA 15203-2430","41 STERLING ST, PITTSBURGH PA 15203-2430","JAMES GARVEY","JAMES GARVEY","Allegheny County","Pittsburgh","Feb 7,2025","May 31,2026",-79.9740028,40.4231001
