LID,License Number,License Type,Status,Licensee,Premises,Premises Address,Premises Mailing Address,Premises Owner,Premises Manager,County,Municipality,Last Issue Date,Expiration Date
126574,AL59460,Limited Distillery,Active,FAMILY TRADITION DISTILLING LLC,THE GETTYSBURG MOONSHINE COMPANY,"271 BALTIMORE ST APT A, GETTYSBURG PA 17325-2315","271 BALTIMORE ST APT A, GETTYSBURG PA 17325-2315",MARK NESBITT,ERIC M MINER,Adams County,Gettysburg Borough,"May 5,2025","Dec 31,2025"
104248,AL46166,Limited Distillery,Active,MITCHELLS RESTAURANT INC,WEST BACK HILL DISTILLERY,"2850 S MAIN ST, MANSFIELD PA 16933","2850 S MAIN ST, MANSFIELD PA 16933",JONATHAN A AND KARRIE L MITCHELL,KARRIE L MITCHELL,Tioga County,Covington Twp,"Jan 2,2025","Dec 31,2025"
89772,AL36454,Limited Distillery,Active,HILLSIDE SPIRITS LLC,HILLSIDE SPIRITS LLC,"34 N VINTAGE RD, PARADISE PA 17562-9623","34 N VINTAGE RD, PARADISE PA 17562-9623",RONALD D & SUSAN H FUNK,STEPHEN H FUNK,Lancaster County,Paradise Twp,"Nov 5,2024","Dec 31,2025"
68103,AL11,Limited Distillery,Active,CJ SPIRITS LLC,CJ SPIRITS LLC,"120 WILLOW RUN DR, KANE PA 16735","PO BOX 661, KANE PA 16735-0661",C J LAND MANAGEMENT LLC,JODY D GREENAWALT,Mckean County,Wetmore Twp,"Apr 29,2025","Dec 31,2025"
99567,AL43575,Limited Distillery,Active,JLSKM PROPERTIES LLC,MAIN STREET MOONSHINE,"101 W MAIN ST, SCHUYLKILL HAVEN PA 17972","101 W MAIN ST, SCHUYLKILL HAVEN PA 17972",JLSKM PROPERTIES LLC,JOHN W MICHAEL,Schuylkill County,Schuylkill Haven,"Oct 15,2024","Dec 31,2025"
109807,AL50312,Limited Distillery,Active,DISTILLERY 51 LLC,DISTILLERY 51,"281 WELLIVERSVILLE RD, BLOOMSBURG PA 17815-7233","281 WELLIVERSVILLE RD, BLOOMSBURG PA 17815-7233",ANDREW AND TAWYNA HEMSARTH PREMISES OWNERS,GREG A HEMSARTH,Columbia County,Mt Pleasant Twp,"Nov 6,2024","Dec 31,2025"
112360,AL51565,Limited Distillery,Active,LI'L DOG MOONSHINE LLC,LI'L DOG MOONSHINE,"214 S 3RD AVE, ELIZABETH PA 15037-1527","214 S 3RD AVE, ELIZABETH PA 15037-1527",ORRIE M ROCKWELL JR and ORRIE M ROCKWELL III and DAWN KUZMA  and LYNN McHOLME,CLARENCE F HAWK,Allegheny County,Elizabeth,"Oct 16,2024","Dec 31,2025"
118711,AL56167,Limited Distillery,Active,ALLOH DISTILLING LLC,ALLOH DISTILLING,"1940A CARLISLE RD, YORK PA 17408-1510","1940A CARLISLE RD, YORK PA 17408-1510",HILLSIDE COMMERCIAL LLC,PATRICK W SHORB,York County,West Manchester Twp,"Jan 28,2025","Dec 31,2025"
106780,AL48598,Limited Distillery,Active,BREWSON VENTURES LLC,RUSTY MUSKET,"267 FOUR SEASONS RD, BOSWELL PA 15531","267 FOUR SEASONS RD, BOSWELL PA 15531",NOAH R HENSON,BROOK E BREWER,Somerset County,Jenner Twp,"Dec 5,2024","Dec 31,2025"
82757,AL32354,Limited Distillery,Active,CART/HORSE DISTILLING LLC,CART/HORSE DISTILLING,"12030 EDINBORO RD, EDINBORO PA 16412","1850 TOWNHALL RD W, ERIE PA 16509",ANITA CZECH,JESSICA JO LEMMON,Erie County,Washington Twp,"Nov 18,2024","Dec 31,2025"
118808,AL55536,Limited Distillery,Safekeeping,LAUREL HIGHLANDS BAKED GOODS LLC,CHAMMER DISTILLERY,"2040 LINCOLN WAY UNIT #119, WHITE OAK PA 15131","2040 LINCOLN WAY UNIT #119, WHITE OAK PA 15131",LEE CARMEN INDUSTRIES LLC,KELLY JO WILBANKS,Allegheny County,White Oak,"Nov 1,2024","Dec 31,2025"
67272,AL6,Limited Distillery,Active,OLD REPUBLIC DISTILLERY INC,OLD REPUBLIC DISTILLERY,"1327 N DUKE ST, YORK PA 17404","1327 N DUKE ST, YORK PA 17404",1327 NORTH DUKE STREET LP,WILLIAM MATHIAS,York County,North York,"Sep 4,2024","Dec 31,2025"
70352,AL33,Limited Distillery,Active,EIGHT OAKS CRAFT DISTILLERY COMPANY,EIGHT OAKS FARM DISTILLERY,"7189 RTE 309, NEW TRIPOLI PA 18066","7189 RTE 309, NEW TRIPOLI PA 18066",GREGORY W & RENE G SNYDER,CHAD M BUTTERS,Lehigh County,Lynn Twp,"Nov 1,2024","Dec 31,2025"
113868,AL52520,Limited Distillery,Active,PITTSBURGH SPIRITS LLC,PITTSBURGH SPIRITS LLC,"2401 SMALLMAN ST, PITTSBURGH PA 15222-4673","2401 SMALLMAN ST, PITTSBURGH PA 15222-4673",MCMMEM PROPERTIES LP,MICHAEL J FOGLIA,Allegheny County,Pittsburgh,"Sep 19,2024","Dec 31,2025"
103172,AL45909,Limited Distillery,Active,SPRING GATE SPIRITS LLC,ALLEGRO,"4069 VINEYARD RD, STEWARTSTOWN PA 17363-8478","4069 VINEYARD RD, STEWARTSTOWN PA 17363-8478",PENNSYLVANIA WINE WORKS LLC,MARTIN L SCHOFFSTALL,York County,Hopewell Twp,"Feb 24,2025","Dec 31,2025"
65061,AN3033,Alcohol Non-Beverage,Active,VENATORX PHARMACEUTICALS INC ROBERT TROUT,VENATORX PHARMACEUTICALS INC ROBERT TROUT,"30 SPRING MILL DR, MALVERNN PA 19355","30 SPRING MILL DR, MALVERNN PA 19355",,,Chester County,Uwchlan Twp,"Jan 23,2025","Dec 31,2028"
96220,AN40338,Alcohol Non-Beverage,Active,EARTH CRAFT LLC,EARTH CRAFT LLC,"1772 FRANKFORD AVE, PHILADELPHIA PA 19125","1772 FRANKFORD AVE, PHILADELPHIA PA 19125",,,Philadelphia County,Philadelphia City,"Mar 28,2025","Dec 31,2028"
95108,AN39609,Alcohol Non-Beverage,Active,JBS SCIENCE INC,JBS SCIENCE INC,"3805 OLD EASTON RD, DOYLESTOWN PA 18902-8400","3805 OLD EASTON RD, DOYLESTOWN PA 18902-8400",,,Bucks County,Buckingham Twp,"Jan 15,2025","Dec 31,2028"
72843,AN3196,Alcohol Non-Beverage,Active,WALGREENS SPECIALTY PHARMACY #16287,ALLIANCERX WALGREENS PRIME #16287,"130 ENTERPRISE DR, PITTSBURGH PA 15275-1213","130 ENTERPRISE DR, PITTSBURGH PA 15275-1213",,,Allegheny County,Findlay Twp,"Dec 17,2024","Dec 31,2028"
128146,AN59077,Alcohol Non-Beverage,Active,VINTABIO INC,VINTABIO INC,"4050 S 26TH ST, PHILADELPHIA PA 19112-1615","4050 S 26TH ST, PHILADELPHIA PA 19112-1615",,,Philadelphia County,Philadelphia City,"Dec 11,2024","Dec 31,2028"
123331,AN57094,Alcohol Non-Beverage,Active,AMERICAN PHILOSOPHICAL SOCIETY,CONSERVATION LABORATORY,"427 CHESTNUT ST, PHILADELPHIA PA 19106-2426","427 CHESTNUT ST, PHILADELPHIA PA 19106-2426",,,Philadelphia County,Philadelphia City,"Oct 18,2024","Dec 31,2028"
70775,AN3163,Alcohol Non-Beverage,Active,GENOMIND INC,GENOMIND INC,"2200 RENAISSANCE BLVD, KING OF PRUSSIA PA 19406-2755","2200 RENAISSANCE BLVD, KING OF PRUSSIA PA 19406-2755",,,Montgomery County,Upper Merion Twp,"Sep 16,2024","Dec 31,2028"
121318,AN56403,Alcohol Non-Beverage,Active,SOLVAY USA LLC,SOLVAY USA LLC,"350 GEORGE PATTERSON BLVD, BRISTOL PA 19007-3624","350 GEORGE PATTERSON BLVD, BRISTOL PA 19007-3624",,,Bucks County,Bristol Twp,"Sep 19,2024","Dec 31,2028"
117213,AN53708,Alcohol Non-Beverage,Active,COORDNA BIO INC,CIC PHILADELPHIA,"3675 MARKET ST STE 101, PHILADELPHIA PA 19104-2897","3675 MARKET ST, STE 200, PHILADELPHIA PA 19104-2897",,,Philadelphia County,Philadelphia City,"Sep 11,2024","Dec 31,2028"
61880,AN2987,Alcohol Non-Beverage,Active,SPEAR PRODUCTS INC.,SPEAR PRODUCTS INC.,"520 SPRINGFIELD ST, COOPERSBURG PA 18036","PO BOX 334, COOPERSBURG PA 18036-0334",,,Bucks County,Springfield Twp,"Sep 9,2024","Dec 31,2028"
107986,AN48171,Alcohol Non-Beverage,Active,OCUGEN INC,OCUGEN INC,"263 GREAT VALLEY PARKWAY, MALVERN PA 19355-1308","263 GREAT VALLEY PARKWAY, MALVERN PA 19355-1308",,,Chester County,Malvern,"Sep 12,2024","Dec 31,2028"
24815,AN2342,Alcohol Non-Beverage,Active,THE HERSHEY COMPANY TECHNICAL CENTER,THE HERSHEY COMPANY TECHNICAL CENTER,"1025 REESE AVE, HERSHEY PA 17033","PO BOX 805, HERSHEY PA 17033-0805",,,Dauphin County,Harrisburg,"Sep 23,2024","Dec 31,2028"
49293,AN2782,Alcohol Non-Beverage,Active,MUNICIPAL AUTHORITY OF THE CITY OF NEW KENSINGTON,MUNICIPAL AUTHORITY OF THE CITY OF NEW KENSINGTON,"2200 BLOCK CONSTITUTION BLVD, NEW KENSINGTON PA 15068","PO BOX 577, NEW KENSINGTON PA 15068-0577",,,Westmoreland County,NEW KENSINGTON,"Sep 9,2024","Dec 31,2028"
86117,AN33940,Alcohol Non-Beverage,Active,THE WAYNESBURG UNIVERSITY,WAYNESBURG UNIVERSITY,"51 W COLLEGE ST, WAYNESBURG PA 15370-1258","51 W COLLEGE ST, WAYNESBURG PA 15370-1258",,,Greene County,Franklin Twp,"Oct 3,2024","Dec 31,2028"
105072,AN46396,Alcohol Non-Beverage,Active,WILD KINGDOM EXTRACTS LLC,WILD KINGDOM EXTRACTS LLC,"18 BULL PINE RD, EAST STROUDSBURG PA 18301","18 BULL PINE RD, EAST STROUDSBURG PA 18301",,,Monroe County,East Stroudsburg,"Sep 10,2024","Dec 31,2028"
89931,AN35925,Alcohol Non-Beverage,Active,AMERICAN CRAFT BREWERY LLC,SAMUEL ADAMS PENNSYLVANIA BREWERY COMPANY,"7880 PENN DR, BREINIGSVILLE PA 18031-1508","7880 PENN DR, BREINIGSVILLE PA 18031-1508",,,Lehigh County,Upper Macungie Twp,"Dec 17,2024","Dec 31,2028"
52043,AN2817,Alcohol Non-Beverage,Active,LAMPIRE BIOLOGICAL LABORATORIES,LAMPIRE BIOLOGICAL LABORATORIES,"405 S MAIN ST, COOPERSBURG PA 18036-1900","405 S MAIN ST, COOPERSBURG PA 18036-1900",,,Lehigh County,Coopersburg,"Feb 3,2025","Dec 31,2028"
66922,AN3075,Alcohol Non-Beverage,Active,INDIGO BIOSCIENCES INC,INDIGO BIOSCIENCES INC,"3006 RESEARCH DR SUITE A1, STATE COLLEGE PA 16801","3006 RESEARCH DR SUITE A1, STATE COLLEGE PA 16801",,,Centre County,Ferguson Twp,"Dec 31,2024","Dec 31,2028"
119250,AR146,Airport Restaurant (Liquor),Active,TAILWIND ABE LLC,ABE AIRPORT,"ABE AIRPORT 3311 AIRPORT RD, ALLENTOWN PA 18109-3074","408 LANDMARK DR, WILMINGTON NC 28412",LEHIGH-NORTHAMPTON AIRPORT AUTHORITY,ISMAEL RODRIGUEZ,Lehigh County,Hanover Twp,"Feb 12,2025","Apr 30,2026"
83314,AR32588,Airport Restaurant (Liquor),Active,"OTG MANAGEMENT PHL B, LLC",CIBO BISTRO AND WINE BAR,"PHILADELPHIA INTERNATIONAL AIRPORT  8500 ESSINGTON AVE  TERMINAL B  SECOND FLOOR, PHILADELPHIA PA 19153-3701","PHILADELPHIA INTERNATIONAL AIRPORT  8500 ESSINGTON AVE  TERMINAL B  SECOND FLOOR, PHILADELPHIA PA 19153-3701",CITY OF PHILADELPHIA,MARIA S SCHMIDT,Philadelphia County,Philadelphia City,"Jul 11,2024","Oct 31,2025"
120005,AR56036,Airport Restaurant (Liquor),Active,AIRPORT DINING INC.,SABRINA'S CAFE,"8500 ESSINGTON AVE TERMINAL C -SPACE C5/C6, PHILADELPHIA PA 19153-3755","8500 ESSINGTON AVE TERMINAL C -SPACE C5/C6, PHILADELPHIA PA 19153-3755",MARKETPLACE PHL LLC,LANG T DO-BATTISTA,Philadelphia County,Philadelphia City,"Oct 10,2024","Oct 31,2025"
66572,AR142,Airport Restaurant (Liquor),Active,PARADIES UNITED LLC,BEERCODE,"PITTSBURGH INTERNATIONAL AIRPORT  CENTER CORE  1000 AIRPORT BLVD, PITTSBURGH PA 15231","PITTSBURGH INTERNATIONAL AIRPORT  PO BOX 12296, PITTSBURGH PA 15231",PARADIES UNITED LLC,GERALD E PONIATOWSKI,Allegheny County,Findlay Twp,"May 8,2025","May 31,2026"
45778,B90,Bonded Warehouse (Liquor),Active,"WORLD WIDE DUTY FREE, LTD","WORLD WIDE DUTY FREE, LTD","1314-16 S HOWARD ST, PHILADELPHIA PA 19147-6130","1314-16 S HOWARD ST, PHILADELPHIA PA 19147-6130",LUIGI ADAMO,CHRISTINA ADAMO,Philadelphia County,Philadelphia City,"Sep 4,2024","Dec 31,2025"
120735,BP56092,Bulk Purchase,Active,SPIRITED EXTRACTS LLC,SPIRITED EXTRACTS LLC,"5355 SPRING VALLEY DR, PITSBURGH PA 15236","5355 SPRING VALLEY DR, PITSBURGH PA 15236",,,Allegheny County,Whitehall,"Dec 23,2024","Dec 31,2028"
1723,C3713,Club (Liquor),Safekeeping,UKRAINIAN AMERICAN SOCIAL CLUB INC.,UKRAINIAN AMERICAN SOCIAL CLUB INC.,"542-544 S 7TH ST, READING PA 19602-2710","542-544 S 7TH ST, READING PA 19602-2710",UKRAINIAN AMERICAN SOCIAL CLUB INC.,NICHOLAS V DEPIETRO,Berks County,Reading,"Jun 5,2025","Mar 31,2026"
2448,C5311,Club (Liquor),Active,ALFRED WILSON MEMORIAL POST NO. 7219 VFW OF US,ALFRED WILSON MEMORIAL POST NO. 7219 VFW OF US,"3 MAIN ST, FAIRCHANCE PA 15436-1030","3 MAIN ST, FAIRCHANCE PA 15436-1030",ALFRED WILSON MEMORIAL POST NO. 7219 VFW OF US,RANDY E GABORKO,Fayette County,Fairchance,"May 2,2024","Jun 30,2025"
1288,C2481,Club (Liquor),Active,8 JOLLY GENTS INC.,8 JOLLY GENTS INC.,"2711 N 19TH ST, PHILADELPHIA PA 19132-2102","2711 N 19TH ST, PHILADELPHIA PA 19132-2102",FRANKLIN T JOHNSON,GEORGE NESMITH,Philadelphia County,Philadelphia City,"Oct 1,2024","Oct 31,2025"
1605,C3403,Club (Liquor),Active,WRIGHTSVILLE SOCIAL CLUB,WRIGHTSVILLE SOCIAL CLUB,"204 S FRONT ST, WRIGHTSVILLE PA 17368-1613","204 S FRONT ST, WRIGHTSVILLE PA 17368-1613",WRIGHTSVILLE SOCIAL CLUB,RICHARD YOUNG III,York County,Wrightsville,"Jan 10,2025","Feb 28,2026"
732,C851,Club (Liquor),Active,BEECHVIEW LODGE NO. 609 LOYAL ORDER OF THE MOOSE 609,BEECHVIEW LODGE NO. 609 LOYAL ORDER OF THE MOOSE 609,"1607 BROADWAY, PITTSBURGH PA 15216-3246","1607 BROADWAY, PITTSBURGH PA 15216-3246",BEECHVIEW LODGE NO. 609 LOYAL ORDER OF THE MOOSE 609,ANTHONY J IMBURGIA,Allegheny County,Pittsburgh,"Mar 4,2025","May 31,2026"
523,C231,Club (Liquor),Active,SUNBURY LODGE NO 181 LOYAL ORDER OF MOOSE,SUNBURY LODGE NO 181 LOYAL ORDER OF MOOSE,"254 MARKET ST  PO BOX 603, SUNBURY PA 17801-3405","254 MARKET ST  PO BOX 603, SUNBURY PA 17801-3405",SUNBURY LODGE NO 181 LOYAL ORDER OF MOOSE,SLADE A SHRECK,Northumberland County,Sunbury,"Mar 19,2025","Mar 31,2026"
475,C69,Club (Liquor),Active,LOYAL ORDER OF MOOSE LODGE NO 250,LOYAL ORDER OF MOOSE LODGE NO 250,"312 ARCH ST P O BOX 159, VERONA PA 15147-1114","312 ARCH ST P O BOX 159, VERONA PA 15147-1114",NARODNI DOM,TERRI KLEIN,Allegheny County,Verona,"May 6,2025","May 31,2026"
1287,C2477,Club (Liquor),Active,PRINCIPE DI PIEMONTE CLUB,PRINCIPE DI PIEMONTE CLUB,"466-466 1/2 CENTER ST, JOHNSONBURG PA 15845","466-466 1/2 CENTER ST, JOHNSONBURG PA 15845",PRINCIPE DI PIEMONTE CLUB,KAREN SNYDER,Elk County,Johnsonburg,"Nov 18,2024","Jul 31,2025"
1151,C2044,Club (Liquor),Active,FRATERNAL ORDER OF EAGLES DONORA AERIE NO. 502,FRATERNAL ORDER OF EAGLES DONORA AERIE NO. 502,"301 MCKEAN AVE, DONORA PA 15033-1519","301 MCKEAN AVE, DONORA PA 15033-1519",FRATERNAL ORDER OF EAGLES DONORA AERIE NO. 502,JERRY SWOPE,Washington County,DONORA,"Apr 25,2024","Jun 30,2025"
1977,C4305,Club (Liquor),Active,EBENSBURG LODGE NO. 681 LOYAL ORDER OF MOOSE,EBENSBURG LODGE NO. 681 LOYAL ORDER OF MOOSE,"104-106 W HIGH ST, EBENSBURG PA 15931-1539","104-106 W HIGH ST, EBENSBURG PA 15931-1539",EBENSBURG LODGE NO. 681 LOYAL ORDER OF MOOSE,MICHAEL J HURLEY,Cambria County,Ebensburg,"Dec 11,2024","Jan 31,2026"
2503,C5442,Club (Liquor),Active,DALE BOROUGH FIRE CO.,DALE BOROUGH FIRE CO.,"217 DAVID ST REAR DALE, JOHNSTOWN PA 15902-1704","217 DAVID ST REAR DALE, JOHNSTOWN PA 15902-1704",DALE BOROUGH FIRE CO.,LISA D HOWARD,Cambria County,Dale,"Jan 7,2025","Jan 31,2026"
865,C1214,Club (Liquor),Active,THE OLYMPIC ATHLETIC CLUB,THE OLYMPIC ATHLETIC CLUB,"520 ALEXANDER ST, PITTSBURGH PA 15220","520 ALEXANDER ST, PITTSBURGH PA 15220",THE OLYMPIC ATHLETIC CLUB,MICHAEL J GREC,Allegheny County,Pittsburgh,"May 15,2025","May 31,2026"
527,C239,Club (Liquor),Active,THE STEITZ CLUB,THE STEITZ CLUB,"402 CUMBERLAND ST, LEBANON PA 17042-5314","402 CUMBERLAND ST, LEBANON PA 17042-5314",THE STEITZ CLUB,LISA A SAKEL,Lebanon County,Lebanon,"Dec 4,2024","Feb 28,2026"
2226,C4860,Club (Liquor),Active,FOREST HILLS FIRE CO.,FOREST HILLS FIRE CO.,"1596 TREVORTON RD, COAL TOWNSHIP PA 17866","1596 TREVORTON RD, COAL TOWNSHIP PA 17866",FOREST HILLS FIRE CO.,ALBERT C MENCH,Northumberland County,Coal Twp,"Feb 12,2025","Mar 31,2026"
2394,C5178,Club (Liquor),Active,NO. 5644 HOME ASSOCIATION INC.,NO. 5644 HOME ASSOCIATION INC.,"627 E SYCAMORE RD, SNOW SHOE PA 16874-9601","627 E SYCAMORE RD, SNOW SHOE PA 16874-9601",NO. 5644 HOME ASSOCIATION INC.,DAVID J HAHN,Centre County,Snow Shoe Twp,"Nov 21,2024","Jan 31,2026"
1148,C2038,Club (Liquor),Active,POLISH NATIONAL ALLIANCE ST. JOSEPH SOCIETY NO. 1466,POLISH NATIONAL ALLIANCE ST. JOSEPH SOCIETY NO. 1466,"1461 LEVEL RD, LILLY PA 15938","PO BOX 125, LILLY PA 15938-0125",POLISH NATIONAL ALLIANCE ST. JOSEPH SOCIETY NO. 1466,ROSEMARIE HARKER,Cambria County,Lilly,"Dec 23,2024","Jan 31,2026"
1943,C4232,Club (Liquor),Active,PITTSBURGH ASSOCIATION OF THE DEAF INC.,PITTSBURGH ASSOCIATION OF THE DEAF INC.,"1854 FORBES AVE, PITTSBURGH PA 15219","1854 FORBES AVE, PITTSBURGH PA 15219",PITTSBURGH ASSOCIATION OF THE DEAF INC.,MICHAEL J WEBER,Allegheny County,Pittsburgh,"Mar 31,2025","May 31,2026"
589,C436,Club (Liquor),Active,LOYAL ORDER OF MOOSE OF THE WORLD-WARREN LODGE NO. 109,LOYAL ORDER OF MOOSE OF THE WORLD-WARREN LODGE NO. 109,"422 PENNSYLVANIA AVE WEST, WARREN PA 16365-2238","422 PENNSYLVANIA AVE WEST, WARREN PA 16365-2238",LOYAL ORDER OF MOOSE OF THE WORLD-WARREN LODGE NO. 109,TINA  M NARY,Warren County,Warren,"May 10,2024","Jul 31,2025"
1817,C3960,Club (Liquor),Active,NANTICOKE QUOIT CLUB,NANTICOKE QUOIT CLUB,"422 RAILROAD ST, NANTICOKE PA 18634-1827","422 RAILROAD ST, NANTICOKE PA 18634-1827",NANTICOKE QUOIT CLUB,RACHEL NOSS,Luzerne County,Nanticoke City,"Aug 8,2024","Aug 31,2025"
2555,C5585,Club (Liquor),Active,PUERTO RICAN BENEFICIAL SOCIETY,PUERTO RICAN BENEFICIAL SOCIETY,"205-207 E 3RD ST, BETHLEHEM PA 18015-1307","205-207 E 3RD ST, BETHLEHEM PA 18015-1307",PUERTO RICAN BENEFICIAL SOCIETY,LISA M RICHE,Northampton County,Bethlehem,"Apr 28,2025","Apr 30,2026"
1112,C1901,Club (Liquor),Active,BLANDON FIRE CO NO 1 RELIEF ASSN,BLANDON FIRE CO NO 1 RELIEF ASSN,"36 W WESNER RD, BLANDON PA 19510-0315","PO BOX 315, BLANDON PA 19510",BLANDON FIRE CO NO 1 RELIEF ASSN,JAMES W SCHOELLKOPF III,Berks County,Maidencreek Twp,"Feb 11,2025","Mar 31,2026"
2811,C6205,Club (Liquor),Active,"HOWARD S. LINES VETERANS HOME ASSOCIATION, INC.","HOWARD S. LINES VETERANS HOME ASSOCIATION, INC.","BOATMAN RD  R D 1 P O BOX 221, KNOXVILLE PA 16928-0221","BOATMAN RD  R D 1 P O BOX 221, KNOXVILLE PA 16928-0221","HOWARD S. LINES VETERANS HOME ASSOCIATION, INC.",JOHN H FISH,Tioga County,Deerfield Twp,"Jul 24,2024","Sep 30,2025"
544,C291,Club (Liquor),Active,AMERICAN CROATIAN CLUB OF DUQUESNE,AMERICAN CROATIAN CLUB OF DUQUESNE,"1111 W GRANT AVE, DUQUESNE PA 15110-1691","1111 W GRANT AVE, DUQUESNE PA 15110-1691",AMERICAN CROATIAN CLUB OF DUQUESNE,PAUL CHERKES,Allegheny County,Duquesne,"Apr 21,2025","May 31,2026"
1667,C3551,Club (Liquor),Active,POSSUM HOLLOW GUN CLUB,POSSUM HOLLOW GUN CLUB,"238 POSSUM HOLLOW RD, LATROBE PA 15650-0185","238 POSSUM HOLLOW RD, LATROBE PA 15650-0185",JEFFREY D SHIREY,JEFFREY D SHIREY,Westmoreland County,UNITY TWP,"May 7,2024","Jun 30,2025"
65461,C6452,Club (Liquor),Active,WILCOX SPORTSMEN'S CLUB,WILCOX SPORTSMEN'S CLUB,"586 CLARION ST, WILCOX PA 15870","PO Box 100, WILCOX PA 15870-0100",WILCOX SPORTSMEN'S CLUB,JASON T MCALEE,Elk County,Jones Twp,"May 15,2024","Jul 31,2025"
1925,C4182,Club (Liquor),Active,SPRING GARDEN SPORTSMEN'S CLUB,SPRING GARDEN SPORTSMEN'S CLUB,"3335 SPRING GARDEN AVE, PITTSBURGH PA 15212-1253","3335 SPRING GARDEN AVE, PITTSBURGH PA 15212-1253",SPRING GARDEN SPORTSMEN'S CLUB,GARY M KILLMEYER,Allegheny County,Reserve Twp,"Apr 7,2025","May 31,2026"
1005,C1573,Club (Liquor),Active,KITTANNING MENS CLUB,KITTANNING MENS CLUB,"157 S JEFFERSON ST, KITTANNING PA 16201-2419","157 S JEFFERSON ST, KITTANNING PA 16201-2419",KITTANNING MENS CLUB,RODNEY C EMERY,Armstrong County,Kittanning,"Apr 19,2024","Jun 30,2025"
61004,C205,Club (Liquor),Active,PITCAIRN RELIEF FIRE CO 2,PITCAIRN RELIEF FIRE CO 2,"480 BROADWAY, PITCAIRN PA 15140-1447","480 BROADWAY, PITCAIRN PA 15140-1447",PITCAIRN RELIEF FIRE CO 2,GEORGE BURKHARDT,Allegheny County,Pitcairn,"Apr 17,2025","May 31,2026"
513,C210,Club (Liquor),Active,FRANCO-BELGIAN MUTUAL BENEFIT ASSN.,FRANCO-BELGIAN MUTUAL BENEFIT ASSN.,"MAIN ST BOX 196, STURGEON PA 15082-0196","MAIN ST BOX 196, STURGEON PA 15082-0196",FRANCO-BELGIAN MUTUAL BENEFIT ASSN.,SANDY SABINA,Allegheny County,South Fayette Twp,"May 21,2025","May 31,2026"
